system:index,B8A,B9,LAI,MSR2,OSAVI,RDVI,.geo
5_5503,2600.0,2344.0,1.0087156295776367,0.11395092956218571,0.08975680013483438,22.6342007858807,
5_5505,2543.0,2206.0,1.0782798528671265,0.15731983517460268,0.12203677963917076,20.351503502201123,
5_5534,2557.0,2432.0,1.0274738073349,0.11743212916357314,0.09238290102981855,24.37154643425475,
5_5559,2588.0,2291.0,1.0654246807098389,0.262653910220236,0.19631627407636593,24.225864082538955,
5_5574,2739.0,2473.0,1.0520662069320679,0.15585301657086786,0.12095788841085563,25.9647993917422,
5_5575,2809.0,1940.0,1.0201714038848877,0.3239127922730726,0.23695021552497705,25.052576293614365,
5_5588,2481.0,2343.0,1.0781620740890503,0.15804459799341883,0.12256220507574894,23.83948226114097,
5_5602,2364.0,2162.0,1.0168343782424927,0.18344599744032367,0.140990580370708,22.980330180857692,
5_5618,2559.0,2214.0,1.0945652723312378,0.14997582217346014,0.11664110952700735,21.171718608873473,
5_5647,2470.0,2322.0,1.0545344352722168,0.15877498923540798,0.12309622316453356,24.136954915494055,
5_5652,2516.0,2358.0,1.0892493724822998,0.20563808293928848,0.15681774417297736,23.547729725415973,
5_5694,2699.0,1949.0,1.057466983795166,0.31788153838632616,0.23302278594679535,27.291221566490247,
5_5705,2635.0,2319.0,1.0274670124053955,0.16849280729972668,0.1301879224759991,23.05738627214025,
5_5713,2487.0,2301.0,1.0658680200576782,0.16332558526001942,0.12642380223559083,22.523973289695242,
5_5721,2692.0,2433.0,1.0881414413452148,0.18559657707914332,0.14253697527361497,26.36564252360298,
5_5723,2980.0,2507.0,1.090816617012024,0.213916646275348,0.16266214646620747,25.296571527368943,
5_5727,2715.0,2401.0,1.017096757888794,0.24505802801067025,0.18429737050042042,28.238491442034096,
5_5736,2768.0,2420.0,1.019927978515625,0.21335420708450054,0.16225962014732861,27.113439348483972,
5_5747,2715.0,2507.0,1.0393877029418945,0.16773707279349248,0.1296378100211054,24.672207244823767,
5_5766,2725.0,2330.0,1.0503333806991577,0.14675912268789867,0.11426849125747533,23.847788863170603,
5_5805,2394.0,2169.0,1.0849223136901855,0.14019303852301104,0.10940772849277491,20.857018684998966,
5_5809,2509.0,2277.0,1.098280429840088,0.16551725499938374,0.1280202547258998,23.533662849230424,
5_5811,2669.0,2359.0,1.0063660144805908,0.17101532967144276,0.13201377915705523,27.311125611712818,
5_5812,2887.0,2503.0,1.1125596761703491,0.1889034217321416,0.1449091496374936,27.837227665103136,
5_5816,2823.0,2452.0,1.1317981481552124,0.1672093499354824,0.12925360218409332,26.3503929503282,
5_5819,2802.0,2485.0,1.081801414489746,0.15947076112073574,0.12361025745469356,24.79432016924616,
5_5838,2692.0,2413.0,1.0471677780151367,0.2526040064315737,0.18946846880891494,27.927392690204453,
5_5845,2773.0,2406.0,1.0558924674987793,0.17342271084689706,0.13376248733309778,26.12477923312559,
5_5847,2600.0,1896.0,1.0227338075637817,0.3330036567260752,0.24281628196069688,25.7360968543128,
5_5871,2558.0,2275.0,1.1088385581970215,0.12983826047696184,0.10169798042938973,22.92727703578026,
5_5892,2949.0,2031.0,1.0943834781646729,0.2717595637410873,0.20248221680202583,23.20331472943014,
5_5903,2529.0,2268.0,1.0394911766052246,0.13230320843548007,0.1035387295808794,22.383778517236152,
5_5905,2620.0,2414.0,1.0622265338897705,0.1711400933003844,0.13210568118305097,25.8358159318925,
5_5906,2591.0,2352.0,1.013261079788208,0.17025034238572984,0.1314586161002543,26.366666666666667,
5_5919,2607.0,2343.0,1.06417715549469,0.19775743647168564,0.15122710058745664,25.00893180997788,
5_5947,2573.0,2370.0,1.0948197841644287,0.12417853485662121,0.09745900683788856,23.536678090105266,
5_5953,2588.0,2351.0,1.0852172374725342,0.2665702176449705,0.19897586878990145,20.45098733045569,
5_5969,2446.0,1803.0,1.0873396396636963,0.3123888213756329,0.22943476508449642,25.357953365481947,
5_5972,2475.0,2292.0,1.1098307371139526,0.13066331306542675,0.10231333150093738,22.77766638375342,
5_6008,2639.0,2297.0,1.1156286001205444,0.1817878824024705,0.13980378542313487,22.804468225410805,
5_6009,2250.0,2103.0,1.046210527420044,0.14054651576213745,0.10966756644607097,20.724950644137483,
5_6016,2325.0,2095.0,1.042896032333374,0.20228058519971084,0.15443864069819202,21.722189449301666,
5_6022,2564.0,2309.0,1.068926453590393,0.201441693431923,0.15384673186529954,23.124077697031595,
5_6024,2713.0,2456.0,1.0249031782150269,0.1710215796690187,0.13202361071334257,24.35901640723346,
5_6064,3086.0,2640.0,1.0351816415786743,0.14537948224493233,0.11325528284106055,21.809509413434792,
5_6076,2446.0,2232.0,1.0836365222930908,0.1402398259160201,0.10944220470068698,21.769646363390198,
5_6078,2001.0,1915.0,1.0596323013305664,0.15865558269597843,0.1229950784807644,24.344776274760296,
5_6080,2189.0,2002.0,1.0415352582931519,0.16173937503137595,0.12525179814351478,26.13174524540048,
5_6082,2728.0,2606.0,1.0915441513061523,0.17737841186321618,0.1366228891609161,25.494570532075787,
5_6089,2704.0,2418.0,1.1287058591842651,0.16946482685965847,0.13089193209211672,25.53707326149182,
5_6090,2616.0,2309.0,1.133152961730957,0.12739103694320075,0.099867758210819,23.34587859651745,
5_6104,2304.0,2278.0,1.0301644802093506,0.16378692938292447,0.12674574714781386,27.75793457006647,
5_6135,2586.0,1964.0,1.1273294687271118,0.3246458942652553,0.23741161706553918,27.636675554307377,
5_6152,2845.0,2628.0,1.0829646587371826,0.13327583921373573,0.10426543776085698,25.20552771617727,
5_6170,2678.0,1862.0,1.09203040599823,0.21293909158309177,0.16197328687966214,22.42732259056352,
5_6171,2321.0,2209.0,1.0994107723236084,0.10352891368416892,0.08184043286425233,25.991360759303063,
5_6193,2875.0,2495.0,1.085578441619873,0.2206078864447056,0.16735134043374292,26.504105697289624,
5_6216,2735.0,2396.0,1.0326037406921387,0.1355425005036272,0.10595095903885335,26.421486332347637,
5_6225,2710.0,2477.0,1.092378854751587,0.1794876517463237,0.13814147253147765,27.290954771192713,
5_6234,2510.0,2231.0,1.0341417789459229,0.11186954884779962,0.08818210787795484,21.44929947935668,
5_6244,2454.0,2212.0,1.11208176612854,0.16680732781316485,0.1289600215992154,22.333909788668056,
5_6270,2638.0,2513.0,1.0217941999435425,0.1848267291039752,0.14198096140015454,27.52365130602169,
5_6295,2621.0,2433.0,1.0523552894592285,0.1468938793719413,0.11436434651641836,25.44972490951975,
5_6297,2789.0,2524.0,1.073760747909546,0.20942310972033312,0.15948994366505648,27.809786334880258,
5_6319,2844.0,2543.0,1.0152164697647095,0.19494824481865988,0.1492283202461435,26.977424457569416,
5_6326,2621.0,2388.0,1.0255694389343262,0.17302754701316916,0.13347986811869317,21.395423541671917,
5_6328,2359.0,2145.0,1.032232642173767,0.11965159839105355,0.09405621480493469,20.74690664089695,
5_6332,2522.0,2212.0,1.1108108758926392,0.1630618654056735,0.12623033000354578,23.76720313109991,
5_6339,2524.0,2309.0,1.0726211071014404,0.1726872741121112,0.13323004227995727,22.707383652265065,
5_6344,2725.0,1941.0,1.0058503150939941,0.34675168005256723,0.2516240650601776,27.401260683567685,
5_6355,2600.0,2242.0,1.0786811113357544,0.15856489251162803,0.12294501722290112,24.0692700078988,
5_6365,2447.0,2178.0,1.085894227027893,0.10860797554483309,0.08570607632000218,24.337697352472894,
5_6390,2429.0,1951.0,1.0221564769744873,0.1680347854024706,0.12985358660701532,21.37911361637973,
5_6402,2736.0,2275.0,1.1262985467910767,0.22310263253679702,0.16909560870508172,24.463898850442746,
5_6422,2109.0,1996.0,1.025814175605774,0.17734552890613386,0.13658226432200446,25.439454598024042,
5_6432,2623.0,2241.0,1.0291908979415894,0.11671183399664915,0.09184160583091736,23.28366176580626,
5_6434,2848.0,2495.0,1.0152894258499146,0.23400507619640987,0.17667732454150853,26.87362822397527,
5_6437,2408.0,2139.0,1.0694886445999146,0.16171724202357957,0.1252494391368506,21.78422947887022,
5_6452,2140.0,1980.0,1.1077189445495605,0.1831754406433902,0.1407824766505825,25.87934969702177,
5_6496,2556.0,2159.0,1.013939619064331,0.13606633407198565,0.10634204303571357,23.017654070774302,
5_6586,2648.0,2369.0,1.1172744035720825,0.16838378925454373,0.13010832423489255,23.515298484792016,
5_6589,2478.0,2197.0,1.1271203756332397,0.1452825898219311,0.11317679378331118,21.480613004025564,
5_6591,2419.0,2189.0,1.0488048791885376,0.1404253332599112,0.10957705948981242,23.549133054779986,
5_6597,2077.0,1930.0,1.0699646472930908,0.11458797257222614,0.09022764330696413,23.807893235789034,
5_6602,2547.0,2312.0,1.0661743879318237,0.1269473166564144,0.0995351510070416,22.761106325595172,
5_6603,2309.0,2097.0,1.017351746559143,0.13280689990476305,0.10391234719704555,21.172260602483902,
5_6621,2200.0,2082.0,1.0579864978790283,0.18735591418543832,0.1437843235147279,26.39921070829438,
5_6628,2709.0,2304.0,1.0557271242141724,0.11919737500471315,0.09371516462687551,24.46065700277068,
5_6646,2604.0,1955.0,1.028061032295227,0.3380986173574261,0.246085656262744,27.620542753944424,
5_6687,2584.0,1930.0,1.0800766944885254,0.2622623738467024,0.1960477820844954,25.507079927178196,
5_6701,2449.0,2086.0,1.0420595407485962,0.2564575597854926,0.19210494983060383,21.535050293032512,
5_6706,2718.0,2474.0,1.069510817527771,0.16568865329533752,0.1281459475027716,25.657953136751775,
5_6722,3257.0,2211.0,1.0928640365600586,0.25778432705943793,0.19302244679013578,21.90126003559798,
5_6749,3093.0,2671.0,1.0076738595962524,0.1403422824268977,0.10952591039759906,21.607998802408748,
5_6753,2781.0,2551.0,1.1033204793930054,0.17973658913687565,0.13832473377977822,25.763808601823598,
5_6762,2826.0,2325.0,1.0742534399032593,0.28842997520061525,0.21364134170446059,24.872503223955494,
5_6797,2734.0,2387.0,1.0796806812286377,0.14856892157177878,0.11560464035806368,23.155002362323366,
